epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.413,0.93119,2.61596,0.97606,0.97076,0.11445,0.80498,0.62311,0.71804,3.29686,0.88612,0.000410539,0.000410539,0.000410539
2,442.905,0.87519,1.47789,0.964,0.82549,0.88491,0.90402,0.71555,0.77135,1.72557,1.00534,0.000786259,0.000786259,0.000786259
3,690.387,0.9053,1.27227,0.99181,0.88116,0.944,0.94355,0.74665,0.77739,1.4113,0.95031,0.00112073,0.00112073,0.00112073
4,923.615,0.89219,1.14145,0.99076,0.86496,0.91732,0.931,0.76616,0.69891,1.25688,0.95941,0.00106437,0.00106437,0.00106437
5,1183.97,0.85256,0.98692,0.97796,0.94215,0.94266,0.95386,0.77881,0.65677,0.91935,0.92264,0.0010025,0.0010025,0.0010025
6,1417.36,0.82197,0.86536,0.96422,0.91956,0.96761,0.96994,0.79175,0.6593,0.87001,0.92808,0.000940625,0.000940625,0.000940625
7,1661.44,0.81803,0.80814,0.95686,0.9234,0.98213,0.97486,0.78735,0.72779,0.75449,0.95204,0.00087875,0.00087875,0.00087875
8,1897.51,0.7951,0.74902,0.9467,0.94934,0.961,0.9794,0.81825,0.64548,0.63138,0.94171,0.000816875,0.000816875,0.000816875
9,2114.3,0.78242,0.74484,0.953,0.9354,0.97334,0.95573,0.7918,0.66643,0.76653,0.94404,0.000755,0.000755,0.000755
10,2328.13,0.78279,0.71665,0.94819,0.94141,0.97661,0.98316,0.81497,0.60802,0.62883,0.88692,0.000693125,0.000693125,0.000693125
11,2541.3,0.72961,0.639,0.92184,0.96215,0.97412,0.97525,0.81009,0.62366,0.61663,0.91288,0.00063125,0.00063125,0.00063125
12,2754.53,0.70183,0.59832,0.90545,0.933,0.97244,0.9785,0.83054,0.61774,0.55814,0.91502,0.000569375,0.000569375,0.000569375
13,2967.88,0.70049,0.56328,0.89884,0.96166,0.96422,0.98364,0.81673,0.62463,0.53891,0.90057,0.0005075,0.0005075,0.0005075
14,3181.44,0.68572,0.53976,0.89513,0.95969,0.97588,0.97895,0.83407,0.55876,0.50169,0.88314,0.000445625,0.000445625,0.000445625
15,3406.56,0.67929,0.52234,0.89207,0.9324,0.98343,0.97848,0.83836,0.5743,0.48643,0.8782,0.00038375,0.00038375,0.00038375
16,3649.47,0.6707,0.50557,0.89644,0.93994,0.98694,0.98009,0.84126,0.57454,0.46212,0.88663,0.000321875,0.000321875,0.000321875
17,3900.24,0.64858,0.47409,0.87934,0.94991,0.97514,0.97733,0.84177,0.58086,0.4408,0.87827,0.00026,0.00026,0.00026
18,4140.65,0.65046,0.46249,0.88194,0.94688,0.97547,0.97933,0.84056,0.5759,0.42795,0.87392,0.000198125,0.000198125,0.000198125
19,4354.34,0.6392,0.44615,0.87561,0.95268,0.97978,0.98124,0.84809,0.55206,0.40671,0.86699,0.00013625,0.00013625,0.00013625
20,4582.71,0.62111,0.43539,0.87043,0.95712,0.97918,0.98141,0.84956,0.55142,0.39994,0.87007,7.4375e-05,7.4375e-05,7.4375e-05
